"Time (ms)","TE","TS","FK","FH"
"5561","1.564693","6.441006","3.442995","4.56902"
"5602","2.973894","6.110457","5.27665","4.334495"
"5643","4.603714","5.411506","9.088196","9.128055"
"5684","5.519071","4.441381","13.01462","14.6979"
"5725","5.275179","3.673629","15.82174","18.91352"
"5766","4.092038","3.589779","17.26834","20.84069"
"5807","2.580696","4.229103","18.18535","20.55784"
"5847","1.338448","5.116231","19.53392","18.92249"
"5888","0.8414259","5.718631","21.40448","16.51946"
"5929","1.068042","5.933053","23.69611","13.43188"
"5970","1.733586","5.982457","26.89712","9.925231"
"6011","2.984811","5.902078","30.70623","6.846652"
"6052","4.788461","5.528553","32.87489","5.555143"
"6093","7.128257","4.985904","31.19246","5.885877"
"6134","10.17952","4.741922","26.11572","5.881366"
"6175","14.04465","5.08379","20.32557","5.070033"
"6215","18.24386","5.784038","16.47535","4.397388"
"6256","21.40342","6.43505","16.2566","4.426182"
"6297","22.09066","6.940798","19.71268","4.815251"
"6338","20.2195","7.389722","24.49602","5.626199"
"6379","17.04551","7.653544","27.90561","6.869796"
"6420","14.02581","7.540545","29.39996","7.911624"
"6461","12.1707","7.166399","30.20038","8.355448"
"6502","11.75694","6.861204","30.50776","8.230128"
"6543","12.08694","6.923759","29.00958","7.711051"
"6584","12.02918","7.549986","25.33199","7.381738"
"6624","10.86487","8.64508","21.46544","8.22973"
"6665","8.660333","9.941937","20.66075","10.90809"
"6706","6.330945","11.09312","24.92342","14.61506"
"6747","6.175002","11.59206","33.07782","17.2139"
"6788","8.624295","11.21285","41.92638","17.12659"
"6829","10.60925","10.39413","48.26421","14.7776"
"6870","10.23081","9.785675","50.215","11.77996"
"6911","7.604709","9.715812","47.73208","9.410973"
"6952","4.210357","10.24021","42.31531","8.410798"
"6992","1.966188","11.2311","36.39657","9.42021"
"7033","2.998001","12.30574","32.19598","13.00538"
"7074","4.83669","12.89867","30.32388","18.09097"
"7115","6.242286","12.52166","29.87174","21.73434"
"7156","6.911887","11.16462","29.89698","21.67159"
"7197","6.839016","9.47576","30.35207","18.58253"
"7238","6.271891","8.191241","31.88864","15.06267"
"7279","5.775479","7.447474","34.87572","12.69754"
"7320","6.898649","7.030128","38.53506","11.46522"
"7360","10.60658","6.984578","41.18166","11.1398"
"7401","15.22181","7.59639","41.45257","11.5606"
"7442","18.13185","8.936184","39.34295","12.33872"
"7483","17.44617","10.72281","35.79376","13.05766"
"7524","13.52458","12.57237","31.70797","13.26678"
"7565","8.740664","14.06183","27.83914","12.59526"
"7606","5.659378","14.93123","24.75164","11.27398"
"7647","5.973111","15.67222","22.3812","10.011"
"7688","10.00582","17.45664","20.25355","9.222925"
"7728","17.19779","21.16144","18.25589","8.918762"
"7769","25.92805","26.19927","16.7879","9.073438"
"7810","33.0839","30.02876","16.38488","9.617939"
"7851","35.45266","29.96703","17.35892","10.21908"
"7892","32.04329","26.17726","19.29511","10.56372"
"7933","24.64307","21.57562","20.87384","10.99266"
"7974","16.30293","18.699","20.79464","12.19389"
"8015","9.705846","17.82384","19.09295","14.41895"
"8056","6.300081","17.76259","17.17477","17.42377"
"8097","5.552833","17.48913","16.39627","20.3681"
"8137","5.964347","16.9234","16.96409","22.38046"
"8178","7.120317","16.4188","18.66641","24.02552"
"8219","8.295986","15.99395","22.08221","27.34696"
"8260","8.361551","15.4456","27.32082","33.02155"
"8301","7.188953","14.69407","31.84624","37.4639"
"8342","5.973612","13.86664","32.52582","36.10676"
"8383","6.194182","13.29269","29.21622","29.20592"
"8424","7.676444","13.22537","24.57347","21.65458"
"8465","9.445429","13.70821","21.0188","17.53044"
"8505","10.97176","14.5608","19.11893","16.66585"
"8546","11.78758","15.37739","18.22519","16.91131"
"8587","11.36413","15.90619","17.6109","17.03805"
"8628","9.436943","16.23063","17.037","16.81125"
"8669","7.112738","16.51599","16.63265","16.3711"
"8710","9.061314","16.8277","16.53912","15.82337"
"8751","15.1082","17.18693","16.83507","15.22623"
"8792","20.28297","17.64531","17.61002","14.72654"
"8833","21.76597","18.25978","18.86481","14.47739"
"8873","19.02969","19.05935","20.40895","14.47259"
"8914","13.6251","20.00976","21.85949","14.5665"
"8955","9.2039","20.95365","22.81425","14.68057"
"8996","11.26001","21.71463","23.29447","14.93357"
"9037","18.16157","22.30677","23.86917","15.49389"
"9078","26.11979","22.85756","25.18986","16.34365"
"9119","33.52091","23.3989","27.6098","17.21422"
"9160","39.68871","23.88294","31.01447","17.79638"
"9201","44.11533","24.27743","34.60591","18.15498"
"9241","45.97443","24.59025","37.36028","19.11052"
"9282","44.85896","24.85275","39.03076","22.07681"
"9323","41.39434","25.09898","39.95614","27.16967"
"9364","36.84734","25.35121","40.0283","31.45227"
"9405","32.59564","25.60964","38.92569","31.58005"
"9446","29.80724","25.86576","37.16844","28.02353"
"9487","28.87334","26.15901","35.99595","24.45083"
"9528","29.13443","26.58919","36.28141","23.19484"
"9569","29.72663","27.19721","37.89984","24.39165"
"9609","30.31101","27.86786","39.8276","27.18953"
"9650","31.05395","28.43427","40.68519","29.1173"
"9691","32.52654","28.8499","39.66603","27.76287"
"9732","35.40512","29.19283","37.40054","23.62908"
"9773","39.76693","29.52688","35.21632","19.40625"
"9814","44.48198","29.8205","33.32507","16.45846"
"9855","47.41014","30.01663","30.80132","14.06651"
"9896","46.85137","30.1296","27.21467","11.55355"
"9937","43.14511","30.18471","23.16151","9.16771"
"9978","38.35922","30.12801","19.05114","7.725171"
"10018","34.51152","29.9576","14.53602","8.019479"
"10059","32.65317","29.84687","9.667935","9.915925"
"10100","32.87253","30.01927","5.391952","12.50149"
"10141","33.96752","30.54709","2.618785","14.98288"
"10182","33.40987","31.34273","2.145172","16.86487"
"10223","28.90134","32.40118","4.139045","17.91916"
"10264","20.80444","33.9071","7.542412","18.40278"
"10305","14.70061","36.01441","11.52683","18.85121"
"10346","19.92248","38.57407","14.89388","19.41121"
"10386","30.68446","41.065","16.67504","19.61543"
"10427","41.2822","42.93184","17.04784","18.95521"
"10468","52.6868","44.08955","16.97217","17.52538"
"10509","65.81116","44.90053","16.63267","15.95876"
"10550","78.65363","45.83189","15.26879","14.78077"
"10591","89.858","47.4094","12.92703","14.07546"
"10632","99.68111","49.99267","11.07135","13.68758"
"10673","107.8761","53.09899","11.30879","13.3225"
"10714","113.6002","55.31494","13.56744","12.66753"
"10754","116.7133","55.71278","16.33259","11.61574"
"10795","117.2951","55.32665","18.31357","10.40361"
"10836","114.7249","56.06612","19.29571","9.387554"
"10877","108.2014","57.68335","20.0488","8.634449"
"10918","97.60539","57.14018","21.42458","8.186674"
"10959","84.0769","52.24795","23.25319","8.611152"
"11000","70.09055","44.39854","24.3135","10.83582"
"11041","58.66841","36.8739","23.84613","14.82645"
"11082","51.97326","31.77395","22.52114","18.79108"
"11122","50.5726","28.5528","21.16629","20.60024"
"11163","54.25745","25.73102","19.55534","19.49139"
"11204","62.13295","23.454","17.21352","16.22476"
"11245","71.72394","23.16614","14.28507","12.07487"
"11286","80.57441","25.33243","11.36316","8.377677"
"11327","87.99855","28.823","8.962014","6.690913"
"11368","93.52636","32.47043","7.365542","7.26108"
"11409","95.5239","35.47525","6.63456","8.515097"
"11450","92.94402","36.9686","6.396314","9.457611"
"11490","87.27581","36.26811","6.261271","9.745584"
"11531","81.54678","33.59406","6.189286","9.581775"
"11572","77.47633","30.40656","6.088989","9.413009"
"11613","74.30669","28.51355","5.749156","9.224915"
"11654","70.65752","28.14503","5.269985","8.612057"
"11695","66.35143","27.49286","5.087529","7.602018"
"11736","61.94849","25.25657","5.42153","6.740934"
"11777","57.80156","22.46587","5.930256","6.213214"
"11818","54.28472","21.03025","6.038864","5.655025"
"11859","51.86712","21.52783","5.392948","4.819338"
"11899","50.5419","22.5198","3.873137","3.756259"
"11940","50.18979","21.62823","1.583008","2.493321"
"11981","51.07997","17.90616","1.767108","0.8865966"
"12022","52.90724","12.80184","4.706147","1.093253"
"12063","54.55983","8.887082","7.055462","2.906286"
