"Time (ms)","TS","FH","FK","TE"
"801","85.94208","36.96352","96.08824","98.44379"
"834","98.36486","53.66886","123.4444","90.52837"
"868","104.3622","71.29301","161.1149","80.24305"
"901","98.51002","82.37034","201.2494","95.51061"
"934","85.34992","84.72436","237.9977","131.5215"
"968","72.69799","81.49545","267.0647","153.4313"
"1001","65.79958","76.81462","284.0266","137.349"
"1034","66.45971","72.43824","285.5814","99.67812"
"1068","74.48623","72.58036","272.9829","85.46773"
"1101","88.46297","85.73793","254.0287","102.0381"
"1134","107.4276","112.3985","239.8738","120.3132"
"1168","132.3664","143.2619","236.9834","120.5611"
"1201","164.5134","169.8973","244.2829","113.6045"
"1235","203.4162","189.2184","256.8227","126.5478"
"1268","247.1255","200.7266","264.7612","159.3033"
"1301","292.5714","202.8638","253.3867","189.0073"
"1335","335.468","193.8061","214.7622","217.5546"
"1368","370.3659","174.0793","157.2166","282.3423"
"1401","391.2116","146.7246","97.95097","430.1859"
"1435","391.802","115.0341","49.23616","633.2101"
"1468","367.1212","84.02229","14.96867","753.7188"
"1502","319.3058","70.86316","4.100468","704.5176"
"1535","260.8206","87.02546","9.003629","554.05"
"1568","204.8983","105.1463","5.478027","416.4657"
"1602","155.7186","105.6621","2.734286","330.1424"
"1635","113.3531","90.3914","3.559142","293.3596"
"1668","83.27738","72.32018","3.330283","286.9853"
