"Time (ms)","TS","FH","FK","TE"
"4809","85.73186","76.99789","143.7153","54.59353"
"4842","93.82552","99.30122","202.2577","120.1936"
"4875","103.362","129.3063","288.9711","208.6433"
"4909","111.3923","160.8522","389.4723","261.6544"
"4942","116.7262","189.5846","489.9695","282.9355"
"4976","119.8187","213.5926","578.168","296.801"
"5009","123.2074","231.153","636.7523","315.4032"
"5042","130.6115","237.008","644.6036","315.4362"
"5076","144.4018","224.3433","598.8101","267.5352"
"5109","165.0309","190.7877","528.4225","198.3457"
"5143","191.8072","144.8441","473.5267","164.7612"
"5176","222.3624","109.7966","454.0715","168.2077"
"5209","253.3619","112.3356","461.3235","186.1539"
"5243","284.4416","165.3105","472.5281","211.5066"
"5276","320.0269","252.3327","467.2124","238.5132"
"5310","364.2449","335.1494","433.8055","264.0227"
"5343","415.7902","376.3207","370.7649","302.9607"
"5376","469.6886","352.214","285.5771","400.1515"
"5410","519.9501","263.4031","191.0806","601.8932"
"5443","557.8731","140.3653","101.868","880.2067"
"5477","571.5378","64.76752","31.55782","1099.781"
"5510","552.3024","114.9686","14.64937","1134.151"
"5543","502.0045","151.1769","31.04722","998.0143"
"5577","432.1243","159.873","28.15823","789.2847"
"5610","357.131","167.7384","15.73312","584.3799"
"5643","287.5139","183.7323","3.287901","435.8047"
"5677","228.342","199.5382","4.946271","368.2202"
"5710","185.0414","211.399","8.700157","378.0317"
