Time (ms),TE,FK,TS,FH,Angle 1 - o,Angle 1 - a,Angle 1 - b
2269,31.19782,100.4065,78.27332,70.47004,29.68579,94.09956,61.84817
2302,97.75066,114.8103,89.02242,80.39711,85.52863,188.0501,73.0738
2336,127.8282,134.0903,105.9617,93.0673,116.8531,319.0009,86.96798
2369,94.9261,155.436,126.0569,105.5071,105.6981,440.8091,107.5353
2402,63.96381,179.405,142.0634,115.081,89.17183,496.2213,133.1355
2436,70.90172,206.7595,143.5971,121.0009,93.38921,451.6961,135.4249
2469,71.30743,235.612,127.7032,127.0583,88.18336,330.3371,117.6386
2503,44.57722,263.286,110.2145,138.2304,52.86384,199.6746,107.0885
2536,6.94337,288.4947,120.3951,152.8879,5.832344,125.8286,131.0234
2569,80.88828,310.0627,161.3001,165.3219,98.87258,181.6822,168.3411
2603,248.0166,325.1982,213.6089,173.3608,265.5213,323.3653,211.8221
2636,428.2901,330.6666,265.144,177.3607,424.1439,472.9214,260.9621
2669,484.6897,324.3587,312.7532,177.8801,469.099,584.5139,311.2128
2703,390.6439,304.677,360.078,176.5745,391.8226,636.3507,363.8669
2736,305.6021,269.9663,409.9961,172.6308,306.6148,629.6751,375.619
2769,343.6569,220.1784,456.8111,158.0896,335.0146,615.3924,310.9243
2803,544.8566,159.57,486.4844,129.2093,533.0978,656.4918,293.1362
2836,793.3839,97.3613,482.5312,95.30602,788.5535,678.0745,397.8373
2870,892.6315,44.36384,435.6178,69.52277,903.4731,587.3107,933.2554
2903,826.8177,14.52466,358.0292,64.21508,825.1478,420.1479,1392.172
2936,678.5771,28.09271,287.4414,84.75996,651.8494,279.0771,1237.55
2970,538.1237,41.09957,259.0572,117.4167,530.5241,234.1467,839.1261
3003,524.978,46.70964,268.5505,144.7901,545.373,266.9712,1015.15
